stop_seq,StopID,ONSTREET,ATSTREET,Lat,Lon,cum_dist_m,spacing_real_m,placeholder_m
1.0,11991,Strachan Ave,Fleet St North Side,43.636606,-79.409631,0.0,,
2.0,14537,East Liberty St,Pirandello St West Side,43.638634,-79.414425,446.863521509482,446.863521509482,1032.2528298899706
3.0,14538,East Liberty St,Lynn Williams St,43.638683,-79.416984,652.8646646947086,206.00114318522657,178.70479947403024
4.0,14539,Liberty St,Atlantic Ave,43.638372,-79.420366,927.211431862948,274.34676716823935,327.00212615166544
5.0,16098,249 Dufferin St,,43.637996,-79.426868,1452.1153596226957,524.9039277597477,728.8831059590464
6.0,2066,Dufferin St,King St West,43.638781,-79.427202,1543.447834973665,91.33247535096947,148.78039215686275
7.0,9739,Dufferin St,Melbourne Ave,43.640185,-79.427735,1705.3502371026111,161.902402128946,226.85488483335934
8.0,2081,Dufferin St,Queen St West,43.642008,-79.428427,1915.567888819272,210.21765171666084,242.94332866261868
9.0,2014,Dufferin St,Alma Ave,43.644509,-79.429381,2204.0668092508117,288.49892043153994,344.49357432834273
10.0,2057,Dufferin St,Gordon St,43.646696,-79.430224,2456.532828590146,252.46601933933448,186.26385005695352
11.0,2043,Dufferin St,Dundas St West,43.649459,-79.431252,2774.703604320816,318.1707757306699,345.4191260225743
12.0,2033,Dufferin St,College St North Side,43.652873,-79.43258,3169.072526845017,394.3689225242009,391.7440420922315
13.0,2098,Dufferin St,Sylvan Ave North Side,43.655107,-79.433431,3426.744148942893,257.67162209787585,240.0891155411322
14.0,2040,Dufferin St,Dufferin Park Ave,43.656933,-79.434122,3637.2585709750706,210.5144220321775,212.51741755689733
15.0,2020,Dufferin St,Bloor St West - Dufferin Station,43.660199,-79.435337,4013.3443706430553,376.08579966798465,655.3345739319223
16.0,2088,Dufferin St,Shanly St,43.662856,-79.436555,4324.611815161816,311.26744451876004,258.2734091084822
17.0,15197,Dufferin St,Hallam St,43.665717,-79.437786,4657.7944887871045,333.1826736252885,267.09213274541656
18.0,2045,Dufferin St,Dupont St,43.668259,-79.438833,4952.730790834209,294.93630204710433,290.42136712512234
19.0,2022,Dufferin St,Brandon Ave,43.670324,-79.439719,5193.152329781759,240.4215389475507,302.17581850992525
20.0,2038,Dufferin St,Davenport Rd North Side,43.673384,-79.441066,5550.239534813689,357.0872050319299,446.13095238095235
21.0,2018,Dufferin St,Auburn Ave,43.675422,-79.441934,5787.363361727424,237.12382691373443,228.23977556430648
22.0,2093,Dufferin St,St Clair Ave West,43.677768,-79.442907,6059.710134778466,272.3467730510429,305.4963717770573
23.0,15199,Dufferin St,Ascot Ave,43.680038,-79.443781,6321.725704069939,262.0155692914721,293.7972826926046
24.0,10092,Dufferin St,Hope St,43.68227,-79.444698,6580.636051002365,258.9103469324266,231.77014871517304
25.0,2082,Dufferin St,Rogers Rd,43.685461,-79.445973,6949.974354423177,369.33830342081154,394.2142561555969
26.0,2048,Dufferin St,Eversfield Rd,43.686836,-79.44654,7109.52024318584,159.54588876266288,225.47901697386234
27.0,15058,Dufferin St,Martin St,43.688509,-79.447222,7303.463470968151,193.94322778231123,152.8031307694308
28.0,2052,Dufferin St,Gibson St North Side,43.690767,-79.448119,7564.694968946962,261.2314979788111,204.22269126537418
29.0,2065,Dufferin St,Rowan Ave,43.692029,-79.448632,7710.959079521928,146.26411057496622,151.9751633986928
30.0,2062,Dufferin St,Hunter Ave North Side,43.694802,-79.449745,8032.024737229576,321.06565770764803,257.7148156856598
31.0,16367,Dufferin St,Eglinton Ave West,43.695556,-79.450105,8120.720826710204,88.69608948062795,148.46472268070946
32.0,15758,Dufferin St,Livingstone Ave North Side,43.69669,-79.450712,8255.92957697019,135.2087502599853,124.14731115296085
33.0,15470,Dufferin St,Whitmore Ave,43.697772,-79.450959,8377.870175039767,121.94059806957802,156.33229247983346
34.0,2025,Dufferin St,Castlefield Ave,43.700622,-79.45155,8698.317432248066,320.4472572082992,343.8630794097711
35.0,10262,Dufferin St,Briar Hill Ave,43.702243,-79.451968,8881.669795790449,183.35236354238253,284.66938051249934
36.0,2095,Dufferin St,Stayner Ave,43.703481,-79.452235,9020.992285885864,139.32249009541516,148.15598391056784
37.0,2053,Dufferin St,Glencairn Ave,43.706896,-79.453031,9406.07601865364,385.0837327677756,283.00668966238106
38.0,2055,Dufferin St,Glengrove Ave,43.70891,-79.453442,9632.446185082228,226.37016642858651,202.53549164440253
39.0,15469,Dufferin St,Wenderly Dr,43.710483,-79.453838,9810.228315317934,177.78213023570598,197.57289204097717
40.0,2029,Dufferin St,Claver Ave North Side,43.712672,-79.454298,10056.42597871712,246.19766339918473,222.07990723170988
41.0,2069,Dufferin St,Lawrence Ave West North Side,43.714493,-79.454638,10260.747544608881,204.32156589176236,340.1036720481165
42.0,2037,Dufferin St,Dane Ave,43.716083,-79.454991,10439.809275571624,179.06173096274316,207.24176694514702
43.0,2027,Dufferin St,Celt Ave North Side,43.718016,-79.455386,10657.08069089156,217.271415319935,195.8660206122135
44.0,2091,Dufferin St,Orfus Rd,43.720389,-79.455958,10924.920452919061,267.8397620275018,341.0495264710449
45.0,982,Dufferin St,Ranee Ave North Side,43.722329,-79.456448,11144.203118722893,219.28266580383158,309.9810576573771
46.0,985,Dufferin St,Jane Osler Blvd - Yorkdale Shopping Centre,43.725083,-79.456993,11453.549776852671,309.3466581297781,232.5905001046244
47.0,979,Dufferin St,Yorkdale Rd,43.726531,-79.457356,11617.180882276314,163.63110542364257,201.10085227272725
